@RELATION tcc

@ATTRIBUTE Hydro REAL
@ATTRIBUTE Avg REAL
@ATTRIBUTE Ctermhydro REAL
@ATTRIBUTE Ctermcharge NUMERIC
@ATTRIBUTE CtermHRK NUMERIC
@ATTRIBUTE mtp NUMERIC
@ATTRIBUTE sln REAL
@ATTRIBUTE coiledmedia NUMERIC
@ATTRIBUTE class {yes,no}


@DATA
120.10,1.35,14.00,0,1,5,0.04,1,no
217.70,0.87,38.70,0,1,20,0.16,45,no
-150.20,-0.36,-3.60,6,7,33,0.21,727,no
-159.30,-0.32,-7.10,4,7,47,0.02,995,no
-114.30,-0.13,-6.20,-5,0,24,0.01,213,no
-55.70,-0.13,-28.20,3,5,190,0.02,1,no
59.70,0.42,-12.10,3,4,10,0.04,1,no
63.10,0.45,-7.90,2,3,9,0.13,30,no
-51.50,-0.49,-34.50,1,4,95,0.03,1,no
436.10,0.92,7.90,6,6,42,0.11,52,no
74.40,0.19,-17.90,2,6,86,0.02,1,no
203.10,0.81,40.80,0,1,26,0.11,12,no
-18.50,-0.09,28.90,-1,1,338,0.07,630,no
-99.90,-0.24,-10.20,4,5,125,0.02,46,no
-66.90,-0.21,-21.30,0,3,314,0.04,71,no
-82.90,-0.23,-18.10,2,5,74,0.02,684,no
-68.00,-0.17,-23.70,-1,3,86,0.02,14,no
-13.80,-0.06,-22.50,1,5,67,0.03,17,no
-22.30,-0.11,5.50,4,5,91,0.02,6,no
-43.90,-0.16,11.10,2,4,290,0.01,274,no
15.80,0.05,8.80,2,2,171,0.07,4,no
-123.50,-0.56,-11.60,-4,3,48,0.41,151,no
-27.90,-0.07,1.80,1,3,59,0.17,10,no
-43.00,-0.38,7.00,3,4,504,0.03,73,no
180.60,0.33,-17.20,0,4,64,0.15,167,no
33.60,0.04,-29.20,-4,3,230,0.12,41,no
-54.30,-0.20,-23.00,2,5,173,0.16,3,no
-42.20,-0.23,-2.40,-3,1,217,0.13,8,no
256.30,0.93,11.00,1,3,81,0.05,580,no
49.70,0.10,10.60,1,3,92,0.13,143,no
-126.30,-0.42,-40.90,0,6,70,0.05,2,no
-404.90,-0.69,9.60,-1,2,96,0.27,999,yes
-433.10,-0.58,0.90,3,4,58,0.12,880,yes
-192.30,-0.45,-12.60,1,4,139,0.11,1000,yes
-79.70,-0.17,7.90,-1,1,145,0.10,199,yes
-304.30,-0.47,-4.80,-1,3,64,0.15,436,yes
-256.80,-0.86,-26.90,0,5,80,0.45,1000,yes
-93.60,-0.74,-21.30,-2,4,153,0.04,953,yes
-172.10,-0.40,-22.80,-2,4,445,0.11,220,yes
23.30,0.07,-25.00,-1,4,90,0.04,333,yes
-213.80,-0.59,-16.20,1,3,73,0.45,39,yes
-76.60,-0.76,-22.00,-1,3,114,0.50,435,yes
-173.20,-0.64,-40.90,2,7,220,0.11,224,yes
-191.90,-0.29,-17.40,0,4,123,0.08,23,yes
-152.20,-0.55,-18.60,-1,3,55,0.06,958,yes
-615.10,-0.82,-5.50,0,5,240,0.06,827,yes
-200.90,-0.34,-5.80,3,4,48,0.21,80,yes
-367.70,-0.40,-19.70,-2,3,37,0.32,833,yes
-308.70,-0.66,-15.80,1,3,71,0.15,828,yes
-380.10,-0.59,-31.30,1,6,150,0.12,946,yes
-81.30,-0.16,-1.60,1,3,48,0.17,204,yes
-292.70,-0.65,-25.20,-1,4,265,0.17,331,yes
-849.00,-0.66,-12.60,1,4,70,0.30,1000,yes
-607.60,-0.65,-17.30,1,5,63,0.24,992,yes
-336.40,-0.42,-40.90,1,5,109,0.19,413,yes
-175.70,-0.44,-30.60,3,5,32,0.10,625,yes
-685.50,-0.75,-37.30,2,6,85,0.18,993,yes
-684.40,-0.75,-21.80,0,4,84,0.17,960,yes
-426.80,-0.55,-26.90,-1,5,107,0.09,743,yes
-397.00,-0.71,-39.90,-2,5,136,0.18,1000,yes
-326.40,-0.57,-19.50,0,4,302,0.19,747,yes
-260.90,-0.56,-8.50,-2,2,70,0.15,705,yes
-626.70,-0.69,-20.80,-3,2,59,0.29,999,yes
-52.00,-0.32,-23.00,0,4,94,0.04,114,yes
-326.70,-0.75,-6.60,2,5,51,0.18,726,yes
-197.60,-0.38,-8.60,2,3,86,0.07,982,yes
-152.20,-0.39,-10.00,-1,2,182,0.10,126,yes
-636.70,-0.55,-7.30,2,5,60,0.52,1000,yes
6.90,0.01,-22.80,-1,4,255,0.49,684,yes
-356.80,-0.62,-28.20,-4,2,103,0.36,991,yes
-1210.40,-0.54,-12.30,-3,1,58,0.19,998,yes
-128.60,-0.52,-22.60,-1,3,165,0.09,588,yes
-259.00,-0.42,-31.10,1,5,227,0.21,465,yes
-243.20,-0.38,-26.60,0,4,110,0.17,257,yes
-106.20,-0.40,-10.40,0,4,62,0.05,9,yes
